model,scenario,scenario_label,mapped_fraction,optical_speedup_assumption,e2e_speedup_upper_bound,evidence_tier,claim_status,claim_boundary
MobileViT-XS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.79049600,2.000000,1.653570,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.79049600,4.000000,2.456230,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.79049600,8.000000,3.243426,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.79049600,16.000000,3.862346,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.79049600,32.000000,4.269727,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.79049600,64.000000,4.507438,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,1.000000,1.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,2.000000,2.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,4.000000,4.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,8.000000,8.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,16.000000,16.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,32.000000,32.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,64.000000,64.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,linear_only,Traced Linear only,0.36526900,1.000000,1.000000,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,linear_only,Traced Linear only,0.36526900,2.000000,1.223443,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,linear_only,Traced Linear only,0.36526900,4.000000,1.377319,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,linear_only,Traced Linear only,0.36526900,8.000000,1.469746,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,linear_only,Traced Linear only,0.36526900,16.000000,1.520773,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,linear_only,Traced Linear only,0.36526900,32.000000,1.547639,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,linear_only,Traced Linear only,0.36526900,64.000000,1.561431,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.77212800,1.000000,1.000000,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.77212800,2.000000,1.628834,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.77212800,4.000000,2.375839,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.77212800,8.000000,3.082728,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.77212800,16.000000,3.621483,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.77212800,32.000000,3.968238,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.77212800,64.000000,4.167769,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,1.000000,1.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,2.000000,2.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,4.000000,4.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,8.000000,8.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,16.000000,16.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,32.000000,32.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-S,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,64.000000,64.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
